pool_id,cycle,date,surface(ha),days,week,surviving,density(shrimp),density(shrimp/ha),weight(g),growth,biomass(kg),biomass(kg/ha),food(kg),food(kg/ha),type_feeding,Medicion,Alimento acumulado [Kg],FCA
4,2020,2020-07-09,4.9,8,1.1428571428571428,0.915,913170,186361.22448979592,0.73,0.08999999999999997,666.6141,136.04369387755102,100,20.408163265306122,Boleo,,502.5,0.9663311013809208
4,2020,2020-07-10,4.9,9,1.2857142857142858,0.91,908180,185342.85714285713,0.81,0.08000000000000007,735.6258,150.1277142857143,125,25.51020408163265,Boleo,,627.5,1.0653292130417347
4,2020,2020-07-11,4.9,10,1.4285714285714286,0.9,898200,183306.1224489796,0.9,0.08999999999999997,808.38,164.97551020408162,100,20.408163265306122,Boleo/Platos,,727.5,1.0993178940242438
4,2020,2020-07-12,4.9,11,1.5714285714285714,0.8985000000000001,896703.0000000001,183000.61224489796,0.99,0.08999999999999997,887.7359700000001,181.170606122449,125,25.51020408163265,Boleo/Platos,,852.5,1.1502705793964856
4,2020,2020-07-13,4.9,12,1.7142857142857142,0.8970000000000001,895206.0000000001,182695.1020408163,1.08,0.09000000000000008,966.8224800000003,197.3107102040817,125,25.51020408163265,Boleo/Platos,1.0,977.5,1.1917585464754374
4,2020,2020-07-14,4.9,13,1.8571428571428572,0.8955000000000002,893709.0000000002,182389.59183673467,1.23,0.1499999999999999,1099.2620700000002,224.3391979591837,125,25.51020408163265,Boleo/Platos,,1102.5,1.1572906893880388
4,2020,2020-07-15,4.9,14,2.0,0.8940000000000002,892212.0000000002,182084.08163265305,1.39,0.15999999999999992,1240.17468,253.09687346938776,135,27.551020408163264,Boleo/Platos,,1237.5,1.1316161688171245
4,2020,2020-07-16,4.9,15,2.142857142857143,0.8925000000000003,890715.0000000003,181778.57142857142,1.54,0.15000000000000013,1371.7011000000005,279.9390000000001,140,28.57142857142857,Boleo/Platos,1.0,1377.5,1.124402505568751
4,2020,2020-07-17,4.9,16,2.2857142857142856,0.8910000000000003,889218.0000000003,181473.0612244898,1.6800000000000002,0.14000000000000012,1493.8862400000007,304.87474285714296,150,30.612244897959183,Boleo/Platos,,1527.5,1.1337656076660036
4,2020,2020-07-18,4.9,17,2.4285714285714284,0.8895000000000004,887721.0000000003,181167.55102040814,1.83,0.1499999999999999,1624.5294300000007,331.53661836734705,150,30.612244897959183,Boleo/Platos,,1677.5,1.1350385046673217
